Property URL,Property price,Sold date (MM/DD/YYYY),Living Area,Living Area Unit,Lot size,Lot size unit,Price per sqft,Broker name,Broker agent,Street Address,City,State,Zip,Country,Bedrooms,Bathrooms
https://www.zillow.com/homedetails/1407-Rita-Ave-St-Charles-IL-60174/4664169_zpid/,329900,01/14/2022,1176,sqft,,,280.53,Wilk Real Estate,,1407 Rita Ave,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/6N828-Woodlawn-Ave-St-Charles-IL-60174/4654737_zpid/,115000,01/13/2022,897,sqft,,,128.21,@properties,,6N828 Woodlawn Ave,St Charles,IL,60174,USA,2,2
https://www.zillow.com/homedetails/2804-Royal-Fox-Dr-St-Charles-IL-60174/4657983_zpid/,610000,01/12/2022,3589,sqft,,,169.96,Berkshire Hathaway Homeservices Starck Real Estate,,2804 Royal Fox Dr,St Charles,IL,60174,USA,4,4
https://www.zillow.com/homedetails/622-Riverside-Ave-St-Charles-IL-60174/4662379_zpid/,272900,01/12/2022,1638,sqft,,,166.61,Robert Anthony Real Estate Srv,,622 Riverside Ave,St Charles,IL,60174,USA,2,2
https://www.zillow.com/homedetails/1240-Ronzheimer-Ave-St-Charles-IL-60174/4663811_zpid/,172000,01/12/2022,1500,sqft,,,114.67,Freedom Banc Realty,,1240 Ronzheimer Ave,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/814-S-7th-St-Saint-Charles-IL-60174/82525175_zpid/,440000,01/11/2022,1793,sqft,,,245.4,@properties,,814 S 7th St,Saint Charles,IL,60174,USA,2,3
https://www.zillow.com/homedetails/2320-Forest-Ridge-Rd-Saint-Charles-IL-60174/4659135_zpid/,440000,01/10/2022,2318,sqft,,,189.82,Coldwell Banker Real Estate Group,,2320 Forest Ridge Rd,Saint Charles,IL,60174,USA,4,3
https://www.zillow.com/homedetails/1815-S-3rd-Pl-St-Charles-IL-60174/4664274_zpid/,290000,01/10/2022,1073,sqft,,,270.27,Southwestern Real Estate,,1815 S 3rd Pl,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/521-Union-Ave-St-Charles-IL-60174/4664412_zpid/,220000,01/10/2022,0,sqft,,,,Keller Williams Inspire,,521 Union Ave,St Charles,IL,60174,USA,2,1
https://www.zillow.com/homedetails/111-S-5th-Ave-APT-I-Saint-Charles-IL-60174/2067387985_zpid/,200000,01/07/2022,1206,sqft,,,165.84,Exp Realty,- Geneva,111 S 5th Ave APT I,Saint Charles,IL,60174,USA,1,2
https://www.zillow.com/homedetails/34W655-Roosevelt-Ave-UNIT-A-Saint-Charles-IL-60174/2075710921_zpid/,301500,01/07/2022,2100,sqft,,,143.57,@properties,,34W655 Roosevelt Ave UNIT A,Saint Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/7N037-Riverside-Dr-Saint-Charles-IL-60174/4653531_zpid/,152000,01/07/2022,615,sqft,,,247.15,Realty Executives Advance,,7N037 Riverside Dr,Saint Charles,IL,60174,USA,1,1
https://www.zillow.com/homedetails/1572-Andover-Ave-Saint-Charles-IL-60174/4663603_zpid/,269000,01/07/2022,1725,sqft,,,155.94,Baird & Warner Fox Valley - undefined Geneva,,1572 Andover Ave,Saint Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/1014-S-12th-Ave-St-Charles-IL-60174/4663775_zpid/,277250,01/07/2022,1718,sqft,,,161.38,Baird & Warner Fox Valley - undefined Geneva,,1014 S 12th Ave,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/915-S-2nd-St-Saint-Charles-IL-60174/4662735_zpid/,325000,01/06/2022,1310,sqft,,,248.09,,,915 S 2nd St,Saint Charles,IL,60174,USA,2,1
https://www.zillow.com/homedetails/1303-S-4th-St-St-Charles-IL-60174/4662995_zpid/,250000,01/06/2022,1277,sqft,,,195.77,Exp Realty,- Geneva,1303 S 4th St,St Charles,IL,60174,USA,3,1
https://www.zillow.com/homedetails/104-Millington-Way-104-Saint-Charles-IL-60174/2067675444_zpid/,208000,01/05/2022,1320,sqft,,,157.58,The Exchange Commission Real Estate,,104 Millington Way #104,Saint Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/1330-S-7th-St-Saint-Charles-IL-60174/4662939_zpid/,650000,01/05/2022,3600,sqft,,,180.56,Prello Realty,,1330 S 7th St,Saint Charles,IL,60174,USA,4,3
https://www.zillow.com/homedetails/3101-Blackhawk-Ct-St-Charles-IL-60174/4658481_zpid/,393000,01/04/2022,2184,sqft,,,179.95,The Homecourt Real Estate,,3101 Blackhawk Ct,St Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/125-Fairview-Dr-St-Charles-IL-60174/4660922_zpid/,305000,01/04/2022,1236,sqft,,,246.76,Exp Realty,- Geneva,125 Fairview Dr,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/1229-Rita-Ave-Saint-Charles-IL-60174/4664122_zpid/,240000,01/04/2022,2168,sqft,,,110.7,Exp Realty,,1229 Rita Ave,Saint Charles,IL,60174,USA,4,3
https://www.zillow.com/homedetails/512-Wing-Ln-Saint-Charles-IL-60174/4658887_zpid/,312000,01/03/2022,2361,sqft,,,132.15,,,512 Wing Ln,Saint Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/520-State-Ave-Saint-Charles-IL-60174/4659730_zpid/,133350,01/03/2022,0,sqft,,,,Re/max Properties,,520 State Ave,Saint Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/35W301-Lambert-Ave-St-Charles-IL-60174/4656127_zpid/,250000,12/29/2021,1300,sqft,,,192.31,Keller Williams Inspire - Geneva,,35W301 Lambert Ave,St Charles,IL,60174,USA,1,2
https://www.zillow.com/homedetails/3502-Royal-Fox-Dr-St-Charles-IL-60174/4658055_zpid/,840000,12/29/2021,4818,sqft,,,174.35,@properties,,3502 Royal Fox Dr,St Charles,IL,60174,USA,4,7
https://www.zillow.com/homedetails/412-S-11th-Ave-St-Charles-IL-60174/4659865_zpid/,245000,12/29/2021,1248,sqft,,,196.31,Re/max Excels,,412 S 11th Ave,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/1416-Walnut-Hill-Ave-1416-Saint-Charles-IL-60174/2076691072_zpid/,230000,12/28/2021,1304,sqft,,,176.38,Jameson Sotheby's Intl Realty,,1416 Walnut Hill Ave #1416,Saint Charles,IL,60174,USA,2,3
https://www.zillow.com/homedetails/3017-Glen-Eagles-Ct-Saint-Charles-IL-60174/4655878_zpid/,817500,12/23/2021,7520,sqft,,,108.71,@properties,,3017 Glen Eagles Ct,Saint Charles,IL,60174,USA,4,6
https://www.zillow.com/homedetails/702-S-11th-Ave-St-Charles-IL-60174/4663511_zpid/,297500,12/22/2021,1560,sqft,,,190.71,Keller Williams Inspire - Geneva,,702 S 11th Ave,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/510-Brownstone-Dr-510-Saint-Charles-IL-60174/2075755125_zpid/,688700,12/21/2021,2584,sqft,,,266.52,Premier Living Properties,,510 Brownstone Dr #510,Saint Charles,IL,60174,USA,3,3
