Property URL,Property price,Sold date (MM/DD/YYYY),Living Area,Living Area Unit,Lot size,Lot size unit,Price per sqft,Broker name,Broker agent,Street Address,City,State,Zip,Country,Bedrooms,Bathrooms
https://www.zillow.com/homedetails/56-N-12th-St-St-Charles-IL-60174/4660453_zpid/,177000,08/31/2022,1047,sqft,,,169.05,Su Familia Real Estate,,56 N 12th St,St Charles,IL,60174,USA,2,2
https://www.zillow.com/homedetails/1278-Willowgate-Ln-Saint-Charles-IL-60174/4663415_zpid/,575000,08/31/2022,3053,sqft,,,188.34,Baird & Warner Fox Valley - undefined Geneva,,1278 Willowgate Ln,Saint Charles,IL,60174,USA,3,4
https://www.zillow.com/homedetails/965-Independence-Ave-St-Charles-IL-60174/4663701_zpid/,280000,08/31/2022,2018,sqft,,,138.75,Coldwell Banker Realty,,965 Independence Ave,St Charles,IL,60174,USA,5,2
https://www.zillow.com/homedetails/1102-S-5th-St-Saint-Charles-IL-60174/4662695_zpid/,468000,08/30/2022,1516,sqft,,,308.71,Kanute Real Estate,,1102 S 5th St,Saint Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/1424-Madison-Ave-St-Charles-IL-60174/4663658_zpid/,340000,08/29/2022,2018,sqft,,,168.48,Baird & Warner Fox Valley - undefined Geneva,,1424 Madison Ave,St Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/1611-Lucylle-Ave-St-Charles-IL-60174/4664324_zpid/,285000,08/29/2022,1008,sqft,,,282.74,Coldwell Banker Real Estate Group,,1611 Lucylle Ave,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/1901-Forrest-Blvd-St-Charles-IL-60174/4664809_zpid/,350000,08/29/2022,1657,sqft,,,211.23,Homesmart Connect,,1901 Forrest Blvd,St Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/815-Pheasant-Trl-Saint-Charles-IL-60174/63057211_zpid/,270000,08/29/2022,1484,sqft,,,181.94,,,815 Pheasant Trl,Saint Charles,IL,60174,USA,,
https://www.zillow.com/homedetails/50-Bluestone-Dr-St-Charles-IL-60174/67857630_zpid/,750000,08/29/2022,3350,sqft,,,223.88,Coldwell Banker Realty,,50 Bluestone Dr,St Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/76-Whittington-Crse-76-Saint-Charles-IL-60174/2062846324_zpid/,277000,08/26/2022,2221,sqft,,,124.72,Re/max Suburban,,76 Whittington Crse #76,Saint Charles,IL,60174,USA,3,4
https://www.zillow.com/homedetails/1811-Moore-Ct-UNIT-1811-Saint-Charles-IL-60174/2075765588_zpid/,225000,08/26/2022,1304,sqft,,,172.55,Re/max Of Naperville,,1811 Moore Ct UNIT 1811,Saint Charles,IL,60174,USA,2,3
