Property URL,Property price,Sold date (MM/DD/YYYY),Living Area,Living Area Unit,Lot size,Lot size unit,Price per sqft,Broker name,Broker agent,Street Address,City,State,Zip,Country,Bedrooms,Bathrooms
https://www.zillow.com/homedetails/1733-Pleasant-Ave-St-Charles-IL-60174/4664367_zpid/,360000,05/05/2022,1470,sqft,,,244.9,Keller Williams Inspire - Geneva,,1733 Pleasant Ave,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/1505-Allen-Ln-St-Charles-IL-60174/4658709_zpid/,370000,05/04/2022,1256,sqft,,,294.59,Premier Living Properties,,1505 Allen Ln,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/613-Horne-St-St-Charles-IL-60174/4662667_zpid/,345000,05/04/2022,1360,sqft,,,253.68,Re/max All Pro - St Charles,,613 Horne St,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/1026-Stonehedge-Rd-St-Charles-IL-60174/4658741_zpid/,655000,05/03/2022,3412,sqft,,,191.97,Re/max Excels,,1026 Stonehedge Rd,St Charles,IL,60174,USA,4,4
https://www.zillow.com/homedetails/703-S-11th-Ave-St-Charles-IL-60174/4663499_zpid/,250000,05/03/2022,988,sqft,,,253.04,Keller Williams Realty Ptnr,Ll,703 S 11th Ave,St Charles,IL,60174,USA,3,1
https://www.zillow.com/homedetails/1706-S-4th-Pl-St-Charles-IL-60174/4664231_zpid/,325000,05/03/2022,1130,sqft,,,287.61,Baird & Warner Fox Valley - undefined Geneva,,1706 S 4th Pl,St Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/501-S-13th-Ave-St-Charles-IL-60174/4659324_zpid/,382000,05/02/2022,1673,sqft,,,228.33,Berkshire Hathaway Homeservices Starck Real Estate,,501 S 13th Ave,St Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/506-S-4th-Ave-St-Charles-IL-60174/4662381_zpid/,357000,05/02/2022,1304,sqft,,,273.77,@properties Christie's International Real Estate,,506 S 4th Ave,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/1975-Cool-Creek-Dr-St-Charles-IL-60174/54621353_zpid/,735000,05/02/2022,3886,sqft,,,189.14,Premier Living Properties,,1975 Cool Creek Dr,St Charles,IL,60174,USA,5,5
https://www.zillow.com/homedetails/912-N-3rd-Ave-St-Charles-IL-60174/92462916_zpid/,917000,05/02/2022,3544,sqft,,,258.75,Singular Properties,,912 N 3rd Ave,St Charles,IL,60174,USA,4,4
https://www.zillow.com/homedetails/970-N-2nd-St-Saint-Charles-IL-60174/2065765321_zpid/,1000000,04/29/2022,2493,sqft,,,401.12,Re/max Suburban,,970 N 2nd St,Saint Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/531-S-13th-St-St-Charles-IL-60174/4661605_zpid/,375000,04/29/2022,2112,sqft,,,177.56,Keller Williams North Shore West,,531 S 13th St,St Charles,IL,60174,USA,4,3
https://www.zillow.com/homedetails/1250-Midway-Ave-St-Charles-IL-60174/4664021_zpid/,345503,04/29/2022,2200,sqft,,,157.05,Baird & Warner Fox Valley - undefined Geneva,,1250 Midway Ave,St Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/1805-Rita-Ave-Saint-Charles-IL-60174/4664689_zpid/,335000,04/29/2022,1751,sqft,,,191.32,Charles Rutenberg Realty Of Il,,1805 Rita Ave,Saint Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/381-Brownstone-Dr-St-Charles-IL-60174/72340691_zpid/,600000,04/29/2022,2445,sqft,,,245.4,Coldwell Banker Realty,,381 Brownstone Dr,St Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/771-Pheasant-Trl-Saint-Charles-IL-60174/49907556_zpid/,240000,04/27/2022,1465,sqft,,,163.82,,,771 Pheasant Trl,Saint Charles,IL,60174,USA,2,3
https://www.zillow.com/homedetails/183-Hunt-Club-Dr-Saint-Charles-IL-60174/4659283_zpid/,200000,04/26/2022,1190,sqft,,,168.07,,,183 Hunt Club Dr,Saint Charles,IL,60174,USA,,2
https://www.zillow.com/homedetails/324-S-4th-St-St-Charles-IL-60174/4662068_zpid/,539900,04/26/2022,2603,sqft,,,207.41,Re/max Suburban,,324 S 4th St,St Charles,IL,60174,USA,4,3
https://www.zillow.com/homedetails/614-Steeplechase-Rd-Saint-Charles-IL-60174/4659523_zpid/,610000,04/25/2022,3311,sqft,,,184.23,Baird & Warner Fox Valley - undefined Geneva,,614 Steeplechase Rd,Saint Charles,IL,60174,USA,5,3
https://www.zillow.com/homedetails/408-S-5th-Ave-St-Charles-IL-60174/4662353_zpid/,360000,04/25/2022,1708,sqft,,,210.77,Keller Williams Inspire - Geneva,,408 S 5th Ave,St Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/350-S-1st-St-UNIT-303-St-Charles-IL-60174/2128567057_zpid/,369900,04/22/2022,1505,sqft,,,245.78,Premier Living Properties,,350 S 1st St UNIT 303,St Charles,IL,60174,USA,2,2
https://www.zillow.com/homedetails/48-N-12th-St-Saint-Charles-IL-60174/4659705_zpid/,421000,04/22/2022,2074,sqft,,,202.99,Haus & Boden,,48 N 12th St,Saint Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/716-Viewpointe-Dr-St-Charles-IL-60174/4662296_zpid/,530000,04/22/2022,2639,sqft,,,200.83,Baird & Warner Fox Valley - undefined Geneva,,716 Viewpointe Dr,St Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/314-S-4th-Ave-St-Charles-IL-60174/4662325_zpid/,330000,04/22/2022,1152,sqft,,,286.46,Re/max All Pro - St Charles,,314 S 4th Ave,St Charles,IL,60174,USA,2,2
https://www.zillow.com/homedetails/925-S-7th-St-St-Charles-IL-60174/4662616_zpid/,350000,04/22/2022,1135,sqft,,,308.37,@properties Christie�s International Real Estate,,925 S 7th St,St Charles,IL,60174,USA,2,2
https://www.zillow.com/homedetails/183-Hunt-Club-Dr-0-Saint-Charles-IL-60174/2067724532_zpid/,200000,04/20/2022,1190,sqft,,,168.07,Re/max Excels,,183 Hunt Club Dr #0,Saint Charles,IL,60174,USA,2,2
https://www.zillow.com/homedetails/122-S-5th-St-Saint-Charles-IL-60174/4662010_zpid/,167000,04/20/2022,1500,sqft,,,111.33,Re/max Excels,,122 S 5th St,Saint Charles,IL,60174,USA,4,1
https://www.zillow.com/homedetails/1347-Lancaster-Ave-St-Charles-IL-60174/4663639_zpid/,350500,04/20/2022,1604,sqft,,,218.52,World One Realty,,1347 Lancaster Ave,St Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/1513-Rita-Ave-St-Charles-IL-60174/4664563_zpid/,280500,04/20/2022,1048,sqft,,,267.65,Southwestern Real Estate,,1513 Rita Ave,St Charles,IL,60174,USA,3,1
https://www.zillow.com/homedetails/618-S-6th-Ave-St-Charles-IL-60174/4662412_zpid/,380000,04/19/2022,1700,sqft,,,223.53,D'aprile Properties,,618 S 6th Ave,St Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/812-Liberty-Ave-Saint-Charles-IL-60174/4663626_zpid/,355000,04/19/2022,1725,sqft,,,205.8,Keller Williams Inspire - Geneva,,812 Liberty Ave,Saint Charles,IL,60174,USA,4,3
https://www.zillow.com/homedetails/1114-S-2nd-St-St-Charles-IL-60174/4662857_zpid/,730000,04/18/2022,1620,sqft,,,450.62,,,1114 S 2nd St,St Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/4021-Pheasant-Ct-Saint-Charles-IL-60174/51631003_zpid/,340000,04/18/2022,1624,sqft,,,209.36,,,4021 Pheasant Ct,Saint Charles,IL,60174,USA,,
https://www.zillow.com/homedetails/707-Derby-Crse-St-Charles-IL-60174/4659048_zpid/,290000,04/15/2022,1636,sqft,,,177.26,Keller Williams Inspire - Geneva,,707 Derby Crse,St Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/921-Wildwood-Ct-Saint-Charles-IL-60174/4659986_zpid/,390000,04/15/2022,2506,sqft,,,155.63,Baird & Warner Fox Valley - undefined Geneva,,921 Wildwood Ct,Saint Charles,IL,60174,USA,4,3
https://www.zillow.com/homedetails/801-S-6th-Ave-St-Charles-IL-60174/4662521_zpid/,163500,04/15/2022,900,sqft,,,181.67,@properties | Christie's International Real Estate,,801 S 6th Ave,St Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/1420-Walnut-Hill-Ave-St-Charles-IL-60174/4664867_zpid/,242000,04/15/2022,1328,sqft,,,182.23,Coldwell Banker Realty,,1420 Walnut Hill Ave,St Charles,IL,60174,USA,2,3
