Property URL,Property price,Sold date (MM/DD/YYYY),Living Area,Living Area Unit,Lot size,Lot size unit,Price per sqft,Broker name,Broker agent,Street Address,City,State,Zip,Country,Bedrooms,Bathrooms
https://www.zillow.com/homedetails/1001-S-2nd-St-St-Charles-IL-60174/4662784_zpid/,425000,10/05/2022,2300,sqft,,,184.78,Baird & Warner Fox Valley - undefined Geneva,,1001 S 2nd St,St Charles,IL,60174,USA,4,3
https://www.zillow.com/homedetails/1532-Rita-Ave-St-Charles-IL-60174/4664556_zpid/,325000,10/05/2022,1750,sqft,,,185.71,Homesmart Connect undefined - St Charles,,1532 Rita Ave,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/816-Riding-Ln-Saint-Charles-IL-60174/59807825_zpid/,299000,10/05/2022,1821,sqft,,,164.2,Realty 25,,816 Riding Ln,Saint Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/6N748-Illinois-St-St-Charles-IL-60174/4655202_zpid/,290000,10/03/2022,1497,sqft,,,193.72,Compass,,6N748 Illinois St,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/1001-Stonehedge-Rd-St-Charles-IL-60174/4658773_zpid/,615000,10/03/2022,3632,sqft,,,169.33,@properties Christie's International Real Estate,,1001 Stonehedge Rd,St Charles,IL,60174,USA,4,4
https://www.zillow.com/homedetails/220-North-Ave-Saint-Charles-IL-60174/4659386_zpid/,360000,10/03/2022,1462,sqft,,,246.24,Great Western Properties,,220 North Ave,Saint Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/822-Steeplechase-Ct-St-Charles-IL-60174/4659512_zpid/,650000,10/03/2022,3648,sqft,,,178.18,Compass,,822 Steeplechase Ct,St Charles,IL,60174,USA,5,4
https://www.zillow.com/homedetails/18-Southgate-Crse-Saint-Charles-IL-60174/4657856_zpid/,220000,09/30/2022,2160,sqft,,,101.85,Re/max All Pro - St Charles,,18 Southgate Crse,Saint Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/506-S-5th-St-St-Charles-IL-60174/4662114_zpid/,265000,09/30/2022,1850,sqft,,,143.24,Expertre,,506 S 5th St,St Charles,IL,60174,USA,4,3
https://www.zillow.com/homedetails/1520-Rita-Ave-St-Charles-IL-60174/4664553_zpid/,295000,09/30/2022,1503,sqft,,,196.27,Great Western Properties,,1520 Rita Ave,St Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/2015-Waverly-Cir-St-Charles-IL-60174/4659012_zpid/,536000,09/29/2022,2875,sqft,,,186.43,Baird & Warner Fox Valley - undefined Geneva,,2015 Waverly Cir,St Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/614-Marion-Ave-St-Charles-IL-60174/4659410_zpid/,465000,09/29/2022,2656,sqft,,,175.08,Results Realty Era Powered,,614 Marion Ave,St Charles,IL,60174,USA,4,3
https://www.zillow.com/homedetails/3N984-Wild-Rose-Rd-St-Charles-IL-60174/4659958_zpid/,357400,09/29/2022,2488,sqft,,,143.65,Re/max All Pro - St Charles,,3N984 Wild Rose Rd,St Charles,IL,60174,USA,4,3
https://www.zillow.com/homedetails/1108-S-4th-St-St-Charles-IL-60174/4662833_zpid/,575000,09/29/2022,2620,sqft,,,219.47,Coldwell Banker Realty,,1108 S 4th St,St Charles,IL,60174,USA,4,3
https://www.zillow.com/homedetails/124-Whittington-Crse-124-St-Charles-IL-60174/2085140955_zpid/,405000,09/28/2022,2300,sqft,,,176.09,Hemming & Sylvester Properties,,124 Whittington Crse #124,St Charles,IL,60174,USA,3,4
https://www.zillow.com/homedetails/6N760-Goodrich-Ave-St-Charles-IL-60174/4654807_zpid/,35000,09/28/2022,800,sqft,,,43.75,Re/max Excels,,6N760 Goodrich Ave,St Charles,IL,60174,USA,2,1
https://www.zillow.com/homedetails/141-S-18th-St-St-Charles-IL-60174/4660987_zpid/,299000,09/28/2022,1143,sqft,,,261.59,Baird & Warner Fox Valley - undefined Geneva,,141 S 18th St,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/4113-Royal-Troon-Ct-St-Charles-IL-60174/4655789_zpid/,875000,09/23/2022,5399,sqft,,,162.07,Re/max All Pro - St Charles,,4113 Royal Troon Ct,St Charles,IL,60174,USA,4,4
https://www.zillow.com/homedetails/3401-Royal-Fox-Dr-Saint-Charles-IL-60174/4658080_zpid/,850000,09/23/2022,4063,sqft,,,209.21,Coldwell Banker Realty,,3401 Royal Fox Dr,Saint Charles,IL,60174,USA,5,5
https://www.zillow.com/homedetails/1540-Jewel-Ave-St-Charles-IL-60174/4664575_zpid/,252000,09/23/2022,1178,sqft,,,213.92,,,1540 Jewel Ave,St Charles,IL,60174,USA,3,1
https://www.zillow.com/homedetails/1316-S-4th-St-Saint-Charles-IL-60174/4663069_zpid/,383400,09/22/2022,1453,sqft,,,263.87,Re/max Excels,,1316 S 4th St,Saint Charles,IL,60174,USA,2,1
https://www.zillow.com/homedetails/3001-Turnberry-Rd-St-Charles-IL-60174/4658173_zpid/,520000,09/19/2022,3057,sqft,,,170.1,Keller Williams Inspire - Geneva,,3001 Turnberry Rd,St Charles,IL,60174,USA,5,3
https://www.zillow.com/homedetails/815-Madison-Ave-St-Charles-IL-60174/4662584_zpid/,315000,09/19/2022,1150,sqft,,,273.91,Keller Williams Inspire,,815 Madison Ave,St Charles,IL,60174,USA,2,2
https://www.zillow.com/homedetails/1581-Dempsey-Dr-Saint-Charles-IL-60174/2062628420_zpid/,613275,09/16/2022,1901,sqft,,,322.61,William J Whelan,,1581 Dempsey Dr,Saint Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/50-S-1st-St-3D-Saint-Charles-IL-60174/2079386116_zpid/,588000,09/16/2022,2011,sqft,,,292.39,Premier Living Properties,,50 S 1st St #3D,Saint Charles,IL,60174,USA,2,2
https://www.zillow.com/homedetails/29-Hunt-Club-Drive-29-Saint-Charles-IL-60174/2095808880_zpid/,250000,09/16/2022,1615,sqft,,,154.8,Re/max All Pro - St Charles,,29 Hunt Club Drive #29,Saint Charles,IL,60174,USA,2,2
https://www.zillow.com/homedetails/21-S-4th-St-Saint-Charles-IL-60174/294871979_zpid/,505000,09/15/2022,2236,sqft,,,225.85,24/7 Real Estate,,21 S 4th St,Saint Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/6N909-Fox-River-Ave-St-Charles-IL-60174/4655165_zpid/,220000,09/13/2022,760,sqft,,,289.47,Re/max 1st,,6N909 Fox River Ave,St Charles,IL,60174,USA,2,1
https://www.zillow.com/homedetails/1721-Evergreen-St-St-Charles-IL-60174/4661184_zpid/,255000,09/12/2022,1157,sqft,,,220.4,Re/max Excels,,1721 Evergreen St,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/66-White-Oak-Cir-Saint-Charles-IL-60174/4663291_zpid/,265000,09/09/2022,1588,sqft,,,166.88,Baird & Warner Fox Valley - undefined Geneva,,66 White Oak Cir,Saint Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/1113-Independence-Ave-Saint-Charles-IL-60174/4663929_zpid/,369000,09/09/2022,1805,sqft,,,204.43,Charles Rutenberg Realty Of Il,,1113 Independence Ave,Saint Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/703-N-3rd-Ave-St-Charles-IL-60174/4659530_zpid/,385000,09/08/2022,0,sqft,,,,North Clybourn Group,,703 N 3rd Ave,St Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/503-S-12th-Ave-St-Charles-IL-60174/4663432_zpid/,248900,09/08/2022,1110,sqft,,,224.23,Results Realty Era Powered,,503 S 12th Ave,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/1010-Ash-St-St-Charles-IL-60174/4663181_zpid/,382500,09/06/2022,1224,sqft,,,312.5,Keller Williams North Shore West,,1010 Ash St,St Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/516-N-2nd-Ave-St-Charles-IL-60174/4659548_zpid/,1780000,09/02/2022,5065,sqft,,,351.43,@properties Christie's International Real Estate,,516 N 2nd Ave,St Charles,IL,60174,USA,6,7
https://www.zillow.com/homedetails/3115-King-Alford-Ct-Saint-Charles-IL-60174/4658097_zpid/,545000,09/01/2022,3097,sqft,,,175.98,Re/max All Pro - Sugar Grove,,3115 King Alford Ct,Saint Charles,IL,60174,USA,4,3
https://www.zillow.com/homedetails/3213-Charlemagne-Ln-Saint-Charles-IL-60174/4658279_zpid/,469700,09/01/2022,3206,sqft,,,146.51,Providence Residential Brkrge,,3213 Charlemagne Ln,Saint Charles,IL,60174,USA,4,3
https://www.zillow.com/homedetails/633-Ohio-Ave-Saint-Charles-IL-60174/4662362_zpid/,165000,09/01/2022,1016,sqft,,,162.4,,,633 Ohio Ave,Saint Charles,IL,60174,USA,2,1
https://www.zillow.com/homedetails/1820-Forrest-Blvd-St-Charles-IL-60174/4664782_zpid/,280000,09/01/2022,1008,sqft,,,277.78,Century 21 Gust Realty,,1820 Forrest Blvd,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/3118-Charlemagne-Ln-St-Charles-IL-60174/4658253_zpid/,440000,08/31/2022,3218,sqft,,,136.73,Berkshire Hathaway Homeservices Starck Real Estate,,3118 Charlemagne Ln,St Charles,IL,60174,USA,4,4
