Property URL,Property price,Sold date (MM/DD/YYYY),Living Area,Living Area Unit,Lot size,Lot size unit,Price per sqft,Broker name,Broker agent,Street Address,City,State,Zip,Country,Bedrooms,Bathrooms
https://www.zillow.com/homedetails/15-Temple-Garden-Ct-St-Charles-IL-60174/4664992_zpid/,222000,02/16/2022,1502,sqft,,,147.8,First Midwest Realty,,15 Temple Garden Ct,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/200-N-2nd-St-St-Charles-IL-60174/294871913_zpid/,2350000,02/15/2022,15273,sqft,,,153.87,,,200 N 2nd St,St Charles,IL,60174,USA,,
https://www.zillow.com/homedetails/1438-Dean-St-St-Charles-IL-60174/4660186_zpid/,175000,02/15/2022,1000,sqft,,,175,Re/max All Pro - St Charles,,1438 Dean St,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/446-Union-Ave-St-Charles-IL-60174/4664420_zpid/,272000,02/15/2022,1038,sqft,,,262.04,Premier Living Properties,,446 Union Ave,St Charles,IL,60174,USA,3,1
https://www.zillow.com/homedetails/2709-Majestic-Oaks-Dr-Saint-Charles-IL-60174/54711542_zpid/,831000,02/15/2022,5642,sqft,,,147.29,Keller Williams Infinity,,2709 Majestic Oaks Dr,Saint Charles,IL,60174,USA,6,5
https://www.zillow.com/homedetails/35W366-Elmwood-Ave-St-Charles-IL-60174/4655078_zpid/,268500,02/11/2022,1122,sqft,,,239.3,Chase Real Estate,,35W366 Elmwood Ave,St Charles,IL,60174,USA,3,1
https://www.zillow.com/homedetails/1018-Prairie-St-Saint-Charles-IL-60174/4661488_zpid/,420000,02/11/2022,2632,sqft,,,159.57,Berkshire Hathaway Homeservices Chicago,,1018 Prairie St,Saint Charles,IL,60174,USA,5,3
https://www.zillow.com/homedetails/400-S-8th-Ct-Saint-Charles-IL-60174/4661531_zpid/,590000,02/11/2022,4151,sqft,,,142.13,Coldwell Banker Realty,,400 S 8th Ct,Saint Charles,IL,60174,USA,4,3
https://www.zillow.com/homedetails/4041-Pheasant-Ct-Saint-Charles-IL-60174/51630993_zpid/,325000,02/09/2022,1485,sqft,,,218.86,Berkshire Hathaway Homeservices Starck Real Estate,,4041 Pheasant Ct,Saint Charles,IL,60174,USA,2,3
https://www.zillow.com/homedetails/4N316-State-Route-31-St-Charles-IL-60174/4657108_zpid/,750000,02/08/2022,2650,sqft,,,283.02,,,4N316 State Route 31,St Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/1552-Independence-Ct-Saint-Charles-IL-60174/4663694_zpid/,365000,02/04/2022,2045,sqft,,,178.48,Homesmart Connect undefined - St Charles,,1552 Independence Ct,Saint Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/2908-Turnberry-Rd-Saint-Charles-IL-60174/112440645_zpid/,135000,02/03/2022,0,sqft,,sqft,,Coldwell Banker Realty,,2908 Turnberry Rd,Saint Charles,IL,60174,USA,,
https://www.zillow.com/homedetails/4N393-Old-Quarry-Rd-St-Charles-IL-60174/4657106_zpid/,594000,02/02/2022,2128,sqft,,,279.14,,,4N393 Old Quarry Rd,St Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/45-N-12th-St-St-Charles-IL-60174/4660451_zpid/,213000,02/02/2022,936,sqft,,,227.56,Re/max 1st Service,,45 N 12th St,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/401-S-13th-Ave-Saint-Charles-IL-60174/4659320_zpid/,345000,02/01/2022,2196,sqft,,,157.1,Compass,,401 S 13th Ave,Saint Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/1521-Iroquois-Ave-St-Charles-IL-60174/4658843_zpid/,340000,01/31/2022,2226,sqft,,,152.74,,,1521 Iroquois Ave,St Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/1212-S-4th-St-St-Charles-IL-60174/4663012_zpid/,395000,01/31/2022,1600,sqft,,,246.88,Keller Williams Inspire,,1212 S 4th St,St Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/531-Pheasant-Trl-Saint-Charles-IL-60174/4360194_zpid/,255000,01/28/2022,1880,sqft,,,135.64,,,531 Pheasant Trl,Saint Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/709-Westfield-Dr-Saint-Charles-IL-60174/4661956_zpid/,445000,01/28/2022,2148,sqft,,,207.17,Era Northwestern,,709 Westfield Dr,Saint Charles,IL,60174,USA,4,3
https://www.zillow.com/homedetails/218-Indiana-St-Saint-Charles-IL-60174/4662038_zpid/,111500,01/28/2022,1620,sqft,,,68.83,Re/max Suburban,,218 Indiana St,Saint Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/873-Pheasant-Trl-Saint-Charles-IL-60174/63661139_zpid/,258900,01/28/2022,1484,sqft,,,174.46,Suburban Life Realty,,873 Pheasant Trl,Saint Charles,IL,60174,USA,2,3
https://www.zillow.com/homedetails/808-N-5th-Ave-Saint-Charles-IL-60174/4659659_zpid/,1300000,01/27/2022,5468,sqft,,,237.75,Success 24/7 Real Estate,,808 N 5th Ave,Saint Charles,IL,60174,USA,5,8
https://www.zillow.com/homedetails/4363-Canterbury-Ct-Saint-Charles-IL-60174/54711466_zpid/,392000,01/25/2022,2292,sqft,,,171.03,Exp Realty,,4363 Canterbury Ct,Saint Charles,IL,60174,USA,3,4
https://www.zillow.com/homedetails/1310-Horne-St-St-Charles-IL-60174/4661591_zpid/,373000,01/21/2022,1888,sqft,,,197.56,Lw Reedy Real Estate,,1310 Horne St,St Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/1226-S-7th-St-Saint-Charles-IL-60174/4662676_zpid/,370000,01/21/2022,1817,sqft,,,203.63,,,1226 S 7th St,Saint Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/50-S-1st-St-B5-Saint-Charles-IL-60174/2076358438_zpid/,460000,01/20/2022,2205,sqft,,,208.62,Premier Living Properties,,50 S 1st St #B5,Saint Charles,IL,60174,USA,2,2
https://www.zillow.com/homedetails/50-S-1st-St-5C-Saint-Charles-IL-60174/2079399842_zpid/,410000,01/20/2022,2024,sqft,,,202.57,Premier Living Properties,,50 S 1st St #5C,Saint Charles,IL,60174,USA,2,2
https://www.zillow.com/homedetails/2806-Royal-Fox-Dr-St-Charles-IL-60174/4657984_zpid/,680000,01/20/2022,4822,sqft,,,141.02,Coldwell Banker Realty,,2806 Royal Fox Dr,St Charles,IL,60174,USA,4,5
